README.md:48: table-row 279 > 200	`--ship-logs`
cli/capture/desync_recovery.py:86: comment-block 19 > 4	"""The pair is in sync again: clear the active ladder, but KEEP the escalation record.
cli/capture/segment_writer.py:1: file-prose 48 > 20
cli/capture/segment_writer.py:51: comment-block 5 > 4	# One row per Coinalyze closed 1-min liquidation bucket (spec 00051 OPS-2, T0023 fallback: Binance
cli/capture/segment_writer.py:66: comment-block 7 > 4	# How far ahead a `ts` may be of BOTH our own clock AND the stream itself before it is garbage
cli/capture/segment_writer.py:75: comment-block 16 > 4	# How many CONSECUTIVE timestamps the guard may refuse before it stands down (see `_implausible`).
cli/capture/segment_writer.py:93: comment-block 15 > 4	# The one bound that is NEVER stood down and needs no second witness (see `_implausible`).
cli/capture/segment_writer.py:110: comment-block 10 > 4	# How many witnesses must vouch that an hour has BEGUN before any stream may act on the boundary —
cli/capture/segment_writer.py:122: comment-block 6 > 4	# The clock witness's handicap: it vouches for hour H only once it reads H's start plus this margin.
cli/capture/segment_writer.py:132: comment-block 25 > 4	"""Cross-stream corroboration that an hour has genuinely begun (T0037).
cli/capture/segment_writer.py:163: comment-block 16 > 4	"""Record that `stream` saw a plausible event stamped `ts` (its guard already ran).
cli/capture/segment_writer.py:203: comment-block 6 > 4	"""`None` if every row of `path` can be read, else the exception the read failed with.
cli/capture/segment_writer.py:217: comment-block 6 > 4	"""`os.replace` into `dest`, fsyncing the data and then the directory entry.
cli/capture/segment_writer.py:237: comment-block 10 > 4	"""`"<HH>.part0007.parquet"` -> `7`; `None` if the name is not one of ours.
cli/capture/segment_writer.py:254: comment-block 6 > 4	"""`.../<YYYY>/<MM>/<DD>` + `"07"` -> that UTC hour; `None` if the path is not one of ours.
cli/capture/segment_writer.py:268: comment-block 37 > 4	"""Buffers `(pair, kind)` capture events and streams them to hourly zstd-Parquet segments.
cli/capture/segment_writer.py:361: comment-block 7 > 4	# An hour that is already closed — a `<HH>.parquet` for it is on disk. A reconnect's
cli/capture/segment_writer.py:371: comment-block 7 > 4	# T0037: acting on a boundary — finalizing the live hour because one ts says a new hour
cli/capture/segment_writer.py:393: comment-block 10 > 4	"""Flush the buffer — and any held rows — to disk (idempotent). Deliberately does **not**
cli/capture/segment_writer.py:412: comment-block 40 > 4	"""INTENDED FOR NON-ORACLE WRITERS ONLY (review 2f08379-I1): this method ignores held
cli/capture/segment_writer.py:491: comment-block 14 > 4	# Spec 00109 D1, T0037's past-dated residual. On an ORACLE-BEARING writer the first event
cli/capture/segment_writer.py:537: comment-block 13 > 4	"""Park a row whose hour the oracle has not confirmed. It still advances the stream witness
cli/capture/segment_writer.py:576: comment-block 45 > 4	"""True only if `ts` is far ahead of BOTH where the stream should have got to by now AND our
cli/capture/segment_writer.py:649: comment-block 5 > 4	# Seed the de-dup set from the parts a previous process already wrote for this hour. On a
cli/capture/segment_writer.py:659: comment-block 11 > 4	"""Redeem `hour`'s held-spill files (`<HH>.held####.parquet`) into ordinary parts.
cli/capture/segment_writer.py:720: comment-block 5 > 4	# The hottest write in the daemon (every `flush_rows` rows), and it is one `OSError`
cli/capture/segment_writer.py:728: comment-block 8 > 4	"""Count an hour finalized before our own clock said it was over (spec 00103 D1/D2) — the
cli/capture/segment_writer.py:753: comment-block 8 > 4	"""Merge the hour's parts into a committed `<HH>.parquet`. Never raises.
cli/capture/segment_writer.py:776: comment-block 7 > 4	# AMBIGUOUS, and unresolvable from here — the pre-T0036 writer produced BOTH
cli/capture/segment_writer.py:798: comment-block 5 > 4	# Isolation invariant (spec 00069 D5): the commit above already succeeded and
cli/capture/segment_writer.py:816: comment-block 10 > 4	"""Stream `inputs` into `<HH>.parquet.merging`, atomically. False if nothing could be read.
cli/capture/segment_writer.py:843: comment-block 13 > 4	"""Publish an interrupted-or-fresh `<HH>.parquet.merging` as the hour's committed final.
cli/capture/segment_writer.py:862: comment-block 7 > 4	"""True if every row of `path` decodes; else quarantine it and return False.
cli/capture/segment_writer.py:876: comment-block 5 > 4	"""Rename an unreadable file aside, **never delete it**: it is evidence, and rows may still
cli/capture/segment_writer.py:897: comment-block 7 > 4	"""Finish what a previous process left mid-merge, and read off disk which hours are closed.
cli/capture/segment_writer.py:934: comment-block 7 > 4	# `_commit` hashes these bytes, unlinks the parts they came from and renames them
cli/capture/segment_writer.py:949: comment-block 6 > 4	# Which hours are closed. A `<HH>.parquet` is one, by the invariant. So is a `.merging` file
cli/capture/segment_writer.py:962: comment-block 7 > 4	# An hour that has not happened cannot have been committed: a future-dated segment is
cli/capture/segment_writer.py:989: comment-block 8 > 4	"""Write `<HH>.parquet.sha256` from `source`'s bytes — atomically and durably, so a kill can
cli/capture/ws_client.py:1: file-prose 34.2 > 20
cli/capture/ws_client.py:39: comment-block 5 > 4	"""Build a WS v2 `subscribe` request for `channel` (`"book"` or `"trade"`) over `symbols`.
cli/capture/ws_client.py:54: comment-block 5 > 4	"""Build a WS v2 `unsubscribe` request for `channel` over `symbols` — the inverse of
cli/capture/ws_client.py:89: comment-block 6 > 4	# Kraken pushes this automatically on connect and on every trading-engine state change
cli/capture/ws_client.py:110: comment-block 10 > 4	"""Exponential backoff delay (seconds) for the `attempt`-th (0-indexed) reconnect, capped at `max_delay`.
cli/capture/ws_client.py:129: comment-block 6 > 4	"""Thin async client for Kraken's public WS v2 feed: subscribes `book` (at `depth`) + `trade`
cli/capture/ws_client.py:199: comment-block 5 > 4	# A failed connection *attempt* — e.g. InvalidStatus on the HTTP 503 Kraken's
cli/capture/ws_client.py:220: comment-block 10 > 4	"""Drop the live connection so `stream()` rebuilds it — the recovery ladder's last rung.
cli/capture/ws_client.py:237: comment-block 6 > 4	"""Route a `subscribe`/`unsubscribe` reply back to the waiter that asked for it (T0102).
cli/capture/ws_client.py:257: comment-block 6 > 4	"""Send the `subscribe` once the `unsubscribe` is acknowledged — or once the wait times out.
cli/capture/ws_client.py:272: comment-block 5 > 4	# IDENTITY, not None-ness. A reconnect inside the ack window installs a NEW socket and
cli/capture/ws_client.py:289: comment-block 11 > 4	"""Force a fresh `book` snapshot for one pair to recover from a checksum desync without
cli/costs/calibrate.py:1: comment-block 15 > 4	"""The captured-spread calibration query, committed as runnable code (T0014, spec 00085 D5).
cli/costs/calibrate.py:1: file-prose 32.8 > 20
cli/costs/calibrate.py:49: comment-block 7 > 4	# A file's hour interval is [HH:00:00, HH+1:00:00); keep files that OVERLAP the window rather
cli/costs/calibrate.py:71: comment-block 6 > 4	"""Scan every `<BASE>/<QUOTE>/panel-1s/**` pair under `panel_root` and compute the mean
cli/data/manifest.py:1: comment-block 12 > 4	"""The manifest contract (spec 00099): one shape, so no consumer needs per-set knowledge.
cli/data/manifest.py:1: file-prose 21.3 > 20
cli/data/manifest.py:58: comment-block 7 > 4	"""sha256 over the member hashes, in ascending lexicographic order OF THE SERIES KEY.
cli/data/manifest.py:122: comment-block 6 > 4	"""The digest that identifies this set. One accessor, so no caller carries a dataset name.
cli/data/manifest.py:134: comment-block 5 > 4	"""The attested content hashes, read from `series` EXPLICITLY.
cli/data/manifest.py:253: comment-block 13 > 4	"""Rewrite one dataset's legacy manifest into the contract, from the parquets on disk.
cli/data/manifest.py:310: comment-block 5 > 4	# The WHOLE legacy document, `series` included. The per-series rows are where the evidence that
cli/data/sync.py:1: file-prose 26.3 > 20
cli/data/sync.py:26: comment-block 12 > 4	"""The committed per-series attestations, keyed by dataset.
cli/data/sync.py:68: comment-block 6 > 4	"""Committed attestations for `dataset` BOUND TO PATHS, or empty when it has none.
cli/data/sync.py:118: comment-block 9 > 4	"""Every per-artifact ``sha256`` value anywhere in a (possibly deeply nested) manifest -- the
cli/data/sync.py:141: comment-block 7 > 4	"""What attests `set_name`: (every vouched hash, the path-bound subset of them).
cli/data/sync.py:172: comment-block 7 > 4	"""Why `rel`'s content is unattested, or None when it is attested. Shared by both directions.
cli/data/sync.py:189: comment-block 6 > 4	"""Re-hash what a push is about to transmit, and refuse content nothing attests.
cli/data/sync.py:200: comment-block 5 > 4	# Fail closed, and MORE readily than the fetch side: this is the permanent direction. A
cli/engine/cycle.py:1: comment-block 15 > 4	"""The shadow cycle core (spec 00041 SS the cycle core): `run_cycle` drives one 4h boundary
cli/engine/cycle.py:1: file-prose 36.4 > 20
cli/engine/cycle.py:77: comment-block 9 > 4	# The engine's per-cycle hook (spec 00069 D5/T4): `run()` installs this UNCONDITIONALLY -- it no
cli/engine/cycle.py:126: comment-block 8 > 4	"""The dead-man's-switch ping (spec 00042): once a completion artifact lands, GET
cli/engine/cycle.py:220: comment-block 5 > 4	"""The pairs whose raw tail still lacks a bar the boundary invariant expects (not yet
cli/engine/cycle.py:237: comment-block 5 > 4	"""Refresh the store, then settle-verify: a pair whose raw 4h tail lacks the cycle_ts - 4h bar
cli/engine/cycle.py:291: comment-block 17 > 4	"""The builder-input contraction (spec 00094 D2) -- ONE implementation, three consumers: this
cli/engine/cycle.py:326: comment-block 9 > 4	"""Base-keyed ten in, symbol-keyed twelve out (spec 00094 D1): each model base carries its value
cli/engine/cycle.py:345: comment-block 16 > 4	"""A journaled record's `final_targets` in the CURRENT symbol key space: schema 2 as-is, schema 1
cli/engine/cycle.py:421: comment-block 11 > 4	"""Intended orders: delta = target - previous target (the most recent successful record's; flat
cli/engine/cycle.py:467: comment-block 18 > 4	"""Journal this boundary's venue-truth evidence FIRST (00089 D7), before any target computation
cli/engine/cycle.py:514: comment-block 8 > 4	"""The venue's book narrowed to the model's BASE key space over the /EUR legs.
cli/engine/cycle.py:585: comment-block 26 > 4	"""Run one shadow cycle at the 4h boundary `cycle_ts` (spec 00041 SS the cycle core, steps 1-8).
cli/engine/cycle.py:640: comment-block 28 > 4	# The forming row's close per model base, journaled onto the record below so drift is measurable
cli/engine/cycle.py:678: comment-block 5 > 4	# The book's sleeve composition at the same forming row: which of the three fixed-1/3 sleeves
cli/engine/cycle.py:686: comment-block 5 > 4	# Did any §10 whole-book limit actually move that book (T0121). Wrapped because it is telemetry
cli/engine/cycle.py:715: comment-block 7 > 4	# T0150: the other two terms a drift measurement needs. NAV is journaled because it sets
cli/engine/execgate.py:1: file-prose 35.1 > 20
cli/engine/execgate.py:78: comment-block 8 > 4	"""The single predicate every submission must pass.
cli/engine/execgate.py:107: comment-block 18 > 4	"""Presence of one control file. The arm file fails closed by reading ABSENT on any
cli/engine/execgate.py:142: comment-block 5 > 4	# Valid iff `now` is at or after the cached reading AND within the bound -- NOT just
cli/engine/execgate.py:154: comment-block 12 > 4	# A reader that RETURNS garbage is as dangerous as one that raises: `venue.ok` on a None
cli/engine/execgate.py:176: comment-block 6 > 4	# The second half of the arming backstop. The Ansible role refuses a CONVERGE that would
cli/engine/execgate.py:234: comment-block 10 > 4	"""Latch `reduce_only` for this process. Written unconditionally on every engine start.
cli/engine/executor.py:1: comment-block 22 > 4	"""The single venue-mutating module (spec 00090, the D4 walk test's anchor): every place this
cli/engine/executor.py:1: file-prose 41.4 > 20
cli/engine/executor.py:68: comment-block 5 > 4	# A liveness bound on this process's OWN bookkeeping, not a trading behaviour: how long a cancel or
cli/engine/executor.py:85: comment-block 9 > 4	# The write-once record of when this engine's realized series began, in the control-file directory
cli/engine/executor.py:97: comment-block 10 > 4	# The terminal order events the execution engine can MINT rather than receive. Past
cli/engine/executor.py:108: comment-block 19 > 4	# What an ADOPTED order's row writes as its state, on BOTH paths that write one -- the startup
cli/engine/executor.py:140: comment-block 5 > 4	# The MODEL's key space: the ten EUR bases. `final_targets` is symbol-keyed TWELVE (the two /BTC
cli/engine/executor.py:146: comment-block 9 > 4	# What the tracking trip publishes about the most recently closed week. The alphabet starts at 1 on
cli/engine/executor.py:178: comment-block 5 > 4	"""Install (or clear, with the defaults) the executor's telemetry hooks: `publish_verdict` is
cli/engine/executor.py:234: comment-block 7 > 4	"""The venue's own NAME for a fill's liquidity side -- `LiquiditySide.name`, so the forensic row
cli/engine/executor.py:249: comment-block 6 > 4	"""One fill's commission in EUR, or `None` when it is denominated in anything else.
cli/engine/executor.py:281: comment-block 7 > 4	"""THE sizing call site (spec 00090 D8): every probe order is sized here, on the Cache-fresh
cli/engine/executor.py:335: comment-block 5 > 4	"""What the ledger says an order was submitted for -- the only figure the per-order overfill
cli/engine/executor.py:364: comment-block 10 > 4	"""Every success record stamped at or before `until`, keyed by the boundary it names.
cli/engine/executor.py:383: comment-block 13 > 4	"""One journaled cycle as the shape `tracking.realized_drift` reads.
cli/engine/executor.py:446: comment-block 14 > 4	"""The D7 disposal: a sell of coin a manual venue action created, whose `qty` came through the
cli/engine/executor.py:477: comment-block 9 > 4	"""The one intent in flight. Mutable and process-local -- everything durable about it is the
cli/engine/executor.py:538: comment-block 6 > 4	"""Owns every venue-mutating call in this repository.
cli/engine/executor.py:561: comment-block 6 > 4	# client_order_id -> (the boundary whose exec record holds its row, the row). EVERY order
cli/engine/executor.py:568: comment-block 5 > 4	# Instrument ids this process has actually filled in, for the realized-PnL sum. Scoped to
cli/engine/executor.py:594: comment-block 10 > 4	"""THE chokepoint: the only path from this repository to a live order.
cli/engine/executor.py:649: comment-block 5 > 4	# Exactly one attempt: no retry. The row is marked `ambiguous` -- the honest state, since
cli/engine/executor.py:682: comment-block 11 > 4	"""Eagerly zero for every mode, then set the one that is resting: the board's convention is
cli/engine/executor.py:705: comment-block 54 > 4	"""The startup pass (D10), run once on the first tick: decide, per resting order this
cli/engine/executor.py:772: comment-block 5 > 4	# The two reads partition the same window's rows and come from the same records, so one
cli/engine/executor.py:819: comment-block 32 > 4	"""The startup reconciliation sweep (spec 00098 D7): every ledgered row whose order the cache
cli/engine/executor.py:867: comment-block 45 > 4	"""One ledgered row against the venue truth the reconciled order carries.
cli/engine/executor.py:960: comment-block 24 > 4	"""The rows the sweep above cannot reach (spec 00100 D16): every ledgered row this engine
cli/engine/executor.py:997: comment-block 19 > 4	"""One closed row against the venue's own figure: does the venue still report the quantity
cli/engine/executor.py:1081: comment-block 5 > 4	# Live balances spell the free-cash currency `EUR` -- measured against the live engine
cli/engine/executor.py:1243: comment-block 5 > 4	"""D10's classification, taken at intent start off the venue truth this intent was resolved
cli/engine/executor.py:1285: comment-block 9 > 4	"""The resting price for this intent's side and mode, or None when no usable touch is known.
cli/engine/executor.py:1311: comment-block 5 > 4	"""D8's sizing-time half of the plan-notional cap, and the only place a `qty` intent meets
cli/engine/executor.py:1329: comment-block 5 > 4	"""Size, build and submit ONE order through the chokepoint. Returns
cli/engine/executor.py:1349: comment-block 5 > 4	# `make_qty` REFUSES a quantity that rounds to zero, and it is called outside the try above.
cli/engine/executor.py:1417: comment-block 8 > 4	"""Two callers, not two universally-reachable ones: the venue's synchronous post-only
cli/engine/executor.py:1426: comment-block 7 > 4	# A cancel is already out, so this order is over either way -- but WHY it is out decides
cli/engine/executor.py:1463: comment-block 5 > 4	"""Every order after the first, sized to `target_qty - filled`. Quantity conservation is the
cli/engine/executor.py:1485: comment-block 6 > 4	"""Move to `phase`, arming the venue-answer deadline for the two phases that wait on one and
cli/engine/executor.py:1527: comment-block 12 > 4	"""The 4-hourly boundary alert's one call into the executor, made after that boundary's
cli/engine/executor.py:1551: comment-block 29 > 4	"""Write the first-fill birth record, once, at the first boundary that can WITNESS the
cli/engine/executor.py:1628: comment-block 20 > 4	"""Score the most recently CLOSED ISO week and latch the kill switch when its realized mean
cli/engine/executor.py:1702: comment-block 8 > 4	# NOT "does the oldest surviving boundary carry a fill". That question passes whenever
cli/engine/executor.py:1717: comment-block 9 > 4	# `>=`, never `>`: a first fill landing exactly ON the Monday boundary -- what an
cli/engine/executor.py:1736: comment-block 5 > 4	# NAV sets both halves of the comparison (a target is `weight * nav / close`, and the
cli/engine/executor.py:1760: comment-block 13 > 4	"""Latch the execution kill switch: create the kill file, pull everything the Cache reports
cli/engine/executor.py:1817: comment-block 31 > 4	"""A trip must leave NOTHING working at the venue: the in-flight order AND everything else
cli/engine/executor.py:1871: comment-block 19 > 4	"""The three fill-time divergences, checked in this order and BEFORE the fill is dispatched
cli/engine/executor.py:1918: comment-block 6 > 4	"""The fill that is about to trip the switch still gets its forensic row. It HAPPENED at the
